word,Pos_x,wordCount_x,percent_of_total,Pos_y,wordavg,wordCount_y
idea,NOUN,1,0.3333333333333333,NOUN,0.2222222222222222,2
speaker,NOUN,1,0.3333333333333333,NOUN,0.20833333333333331,2
user,NOUN,1,0.3333333333333333,NOUN,0.13707900244400323,28
alarm,NOUN,1,0.2,NOUN,0.2,1
bottle,NOUN,1,0.2,NOUN,0.17142857142857143,2
hydrated,ADJ,1,0.2,ADJ,0.2,1
user,NOUN,1,0.2,NOUN,0.13707900244400323,28
water,NOUN,1,0.2,NOUN,0.19894179894179895,4
hand,NOUN,1,0.3333333333333333,NOUN,0.18502415458937196,3
temperature,NOUN,1,0.3333333333333333,NOUN,0.26666666666666666,2
warm,NOUN,1,0.3333333333333333,NOUN,0.1923076923076923,3
able,ADJ,1,0.25,ADJ,0.18097643097643099,4
day,NOUN,1,0.25,NOUN,0.1275477340694732,10
glass,NOUN,1,0.25,NOUN,0.3352272727272727,4
time,NOUN,1,0.25,NOUN,0.18273809523809523,8
back,NOUN,1,0.3333333333333333,NOUN,0.3333333333333333,1
cushion,NOUN,1,0.3333333333333333,NOUN,0.3333333333333333,2
vibrate,NOUN,1,0.3333333333333333,NOUN,0.2375,4
clipboard,NOUN,1,0.1,NOUN,0.1,1
device,NOUN,1,0.1,NOUN,0.18681245337423827,23
ez,NOUN,1,0.1,NOUN,0.1,1
info,NOUN,2,0.2,NOUN,0.2,2
multiple,ADJ,1,0.1,ADJ,0.1125,2
note,NOUN,1,0.1,NOUN,0.1,1
piece,NOUN,1,0.1,NOUN,0.12142857142857143,2
sort,NOUN,1,0.1,NOUN,0.12142857142857143,2
sticky,ADJ,1,0.1,ADJ,0.1,1
device,NOUN,1,0.5,NOUN,0.18681245337423827,23
need,NOUN,1,0.5,NOUN,0.5,1
ambience,NOUN,1,0.14285714285714285,NOUN,0.13992673992673993,5
atmosphere,NOUN,1,0.14285714285714285,NOUN,0.12283272283272284,3
kind,NOUN,1,0.14285714285714285,NOUN,0.14285714285714285,1
light,NOUN,1,0.14285714285714285,NOUN,0.13343334297281664,19
replicate,ADJ,1,0.14285714285714285,ADJ,0.14285714285714285,1
sort,NOUN,1,0.14285714285714285,NOUN,0.12142857142857143,2
sunlightcoffeeshopcheerful,ADJ,1,0.14285714285714285,ADJ,0.14285714285714285,1
hand,NOUN,1,0.2,NOUN,0.18502415458937196,3
mousekeyboard,NOUN,1,0.2,NOUN,0.2,1
smth,NOUN,1,0.2,NOUN,0.2,1
strain,NOUN,1,0.2,NOUN,0.12173913043478261,3
wristsfinger,NOUN,1,0.2,NOUN,0.2,1
ambience,NOUN,1,0.2,NOUN,0.13992673992673993,5
atmosphere,NOUN,1,0.2,NOUN,0.12283272283272284,3
headphone,NOUN,1,0.2,NOUN,0.2253968253968254,3
librarycoffeeshop,NOUN,1,0.2,NOUN,0.2,1
pleasing,ADJ,1,0.2,ADJ,0.2,1
schedule,NOUN,1,0.25,NOUN,0.21944444444444444,5
task,NOUN,1,0.25,NOUN,0.17797619047619048,9
visual,ADJ,1,0.25,ADJ,0.25,1
wayalway,NOUN,1,0.25,NOUN,0.25,1
adjustment,NOUN,1,0.02564102564102564,NOUN,0.07532051282051282,2
ambience,NOUN,3,0.07692307692307693,NOUN,0.13992673992673993,5
atmosphere,NOUN,1,0.02564102564102564,NOUN,0.12283272283272284,3
background,NOUN,1,0.02564102564102564,NOUN,0.0728744939271255,3
cafe,NOUN,1,0.02564102564102564,NOUN,0.02564102564102564,1
calming,ADJ,1,0.02564102564102564,ADJ,0.02564102564102564,1
changing,NOUN,1,0.02564102564102564,NOUN,0.02564102564102564,1
coffeeshop,NOUN,1,0.02564102564102564,NOUN,0.02564102564102564,1
color,NOUN,2,0.05128205128205128,NOUN,0.07564946018893387,5
cool,ADJ,1,0.02564102564102564,ADJ,0.02564102564102564,1
cozy,ADJ,1,0.02564102564102564,ADJ,0.02564102564102564,1
cycle,NOUN,1,0.02564102564102564,NOUN,0.02564102564102564,1
daylight,NOUN,1,0.02564102564102564,NOUN,0.02564102564102564,1
device,NOUN,2,0.05128205128205128,NOUN,0.18681245337423827,23
environment,NOUN,1,0.02564102564102564,NOUN,0.07724358974358975,4
feeling,NOUN,1,0.02564102564102564,NOUN,0.06837606837606837,2
intensity,NOUN,1,0.02564102564102564,NOUN,0.024565315183164155,3
jazz,NOUN,1,0.02564102564102564,NOUN,0.02564102564102564,1
