vector,word,Pos,wordCount,dt,doc_id,subcorpus,percent_of_total
3,apartment,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,app,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,appeal,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,architecture,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,ardent,ADJ,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,area,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,art,NOUN,2,26/05/2020,M0ea6f,mainstream,0.0028129395218002813
3,article,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,attack,NOUN,3,26/05/2020,M0ea6f,mainstream,0.004219409282700422
3,authority,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,bad,ADJ,3,26/05/2020,M0ea6f,mainstream,0.004219409282700422
3,bailout,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,bankruptcy,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,base,NOUN,2,26/05/2020,M0ea6f,mainstream,0.0028129395218002813
3,basic,ADJ,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,bastion,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,beautiful,ADJ,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,big,ADJ,2,26/05/2020,M0ea6f,mainstream,0.0028129395218002813
3,billion,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,billionaire,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,bluestate,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,breakpoint,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,brutal,ADJ,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,budget,NOUN,2,26/05/2020,M0ea6f,mainstream,0.0028129395218002813
3,building,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,burden,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,business,NOUN,5,26/05/2020,M0ea6f,mainstream,0.007032348804500703
3,button,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,cake,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,campaign,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,capital,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,car,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,careful,ADJ,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,case,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,catastrophe,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,cent,NOUN,2,26/05/2020,M0ea6f,mainstream,0.0028129395218002813
3,centre,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,certain,ADJ,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
3,chairman,NOUN,1,26/05/2020,M0ea6f,mainstream,0.0014064697609001407
