word,Pos_x,wordCount_x,dt,doc_id,doc,subcorpus,percent_of_total,Pos_y,avg_freq,wordCount_y,prevalence,wordavg
afternoon,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.0033487375259527155,2,0.02,8.043758043758043e-05
aid,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.008390812510576644,14,0.14,0.0005630630630630631
alchemy,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.0014064697609001407,1,0.01,4.021879021879022e-05
anchor,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.0012273971347369055,3,0.03,0.00012065637065637066
anew,ADJ,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,ADJ,0.0014064697609001407,1,0.01,4.021879021879022e-05
annual,ADJ,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,ADJ,0.004356598806910655,8,0.08,0.00032175032175032174
antiquated,ADJ,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,ADJ,0.0014064697609001407,1,0.01,4.021879021879022e-05
apartment,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.003023420495299258,3,0.03,0.00012065637065637066
app,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.004368810618764179,7,0.07,0.00028153153153153153
appeal,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.007871143155953284,6,0.06,0.00024131274131274132
architecture,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.0026189436927106066,2,0.02,8.043758043758043e-05
ardent,ADJ,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,ADJ,0.0014064697609001407,1,0.01,4.021879021879022e-05
area,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.008812004278096825,52,0.52,0.0020913770913770914
art,NOUN,2,26/05/2020,M0ea6f,3,mainstream,0.0028129395218002813,NOUN,0.016049232750207733,33,0.33,0.0013272200772200772
article,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.006747938648385125,39,0.39,0.0015685328185328184
attack,NOUN,3,26/05/2020,M0ea6f,3,mainstream,0.004219409282700422,NOUN,0.008837943310329307,38,0.38,0.0015283140283140282
authority,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.005172021103862595,16,0.16,0.0006435006435006435
bad,ADJ,3,26/05/2020,M0ea6f,3,mainstream,0.004219409282700422,ADJ,0.004140980831585212,26,0.26,0.0010456885456885457
bailout,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.002127736304951495,2,0.02,8.043758043758043e-05
bankruptcy,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.0023561274424335416,5,0.05,0.00020109395109395108
base,NOUN,2,26/05/2020,M0ea6f,3,mainstream,0.0028129395218002813,NOUN,0.0034625750716041313,6,0.06,0.00024131274131274132
basic,ADJ,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,ADJ,0.003796362852076518,7,0.07,0.00028153153153153153
bastion,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.0014064697609001407,1,0.01,4.021879021879022e-05
beautiful,ADJ,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,ADJ,0.0027050896610227824,3,0.03,0.00012065637065637066
big,ADJ,2,26/05/2020,M0ea6f,3,mainstream,0.0028129395218002813,ADJ,0.00841130847611656,74,0.74,0.002976190476190476
billion,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.002925456697053414,8,0.08,0.00032175032175032174
billionaire,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.0015304688693098707,3,0.03,0.00012065637065637066
bluestate,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.0014064697609001407,1,0.01,4.021879021879022e-05
breakpoint,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.0014064697609001407,1,0.01,4.021879021879022e-05
brutal,ADJ,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,ADJ,0.002980448003319427,3,0.03,0.00012065637065637066
