Pos_x,wordCount_x,doc,percent_of_total,Pos_y,wordavg,wordCount_y
NOUN,1,62,0.1,NOUN,0.1,1
NOUN,1,62,0.1,NOUN,0.18681245337423827,23
NOUN,1,62,0.1,NOUN,0.1,1
NOUN,2,62,0.2,NOUN,0.2,2
ADJ,1,62,0.1,ADJ,0.1125,2
NOUN,1,62,0.1,NOUN,0.1,1
NOUN,1,62,0.1,NOUN,0.12142857142857143,2
NOUN,1,62,0.1,NOUN,0.12142857142857143,2
ADJ,1,62,0.1,ADJ,0.1,1
NOUN,1,63,0.5,NOUN,0.18681245337423827,23
NOUN,1,63,0.5,NOUN,0.5,1
NOUN,1,64,0.14285714285714285,NOUN,0.13992673992673993,5
NOUN,1,64,0.14285714285714285,NOUN,0.12283272283272284,3
NOUN,1,64,0.14285714285714285,NOUN,0.14285714285714285,1
NOUN,1,64,0.14285714285714285,NOUN,0.13343334297281664,19
ADJ,1,64,0.14285714285714285,ADJ,0.14285714285714285,1
NOUN,1,64,0.14285714285714285,NOUN,0.12142857142857143,2
ADJ,1,64,0.14285714285714285,ADJ,0.14285714285714285,1
NOUN,1,65,0.2,NOUN,0.18502415458937196,3
NOUN,1,65,0.2,NOUN,0.2,1
NOUN,1,65,0.2,NOUN,0.2,1
NOUN,1,65,0.2,NOUN,0.12173913043478261,3
NOUN,1,65,0.2,NOUN,0.2,1
NOUN,1,66,0.2,NOUN,0.13992673992673993,5
NOUN,1,66,0.2,NOUN,0.12283272283272284,3
NOUN,1,66,0.2,NOUN,0.2253968253968254,3
NOUN,1,66,0.2,NOUN,0.2,1
ADJ,1,66,0.2,ADJ,0.2,1
NOUN,1,67,0.25,NOUN,0.21944444444444444,5
NOUN,1,67,0.25,NOUN,0.17797619047619048,9
ADJ,1,67,0.25,ADJ,0.25,1
NOUN,1,67,0.25,NOUN,0.25,1
NOUN,1,75,0.02564102564102564,NOUN,0.07532051282051282,2
NOUN,3,75,0.07692307692307693,NOUN,0.13992673992673993,5
NOUN,1,75,0.02564102564102564,NOUN,0.12283272283272284,3
NOUN,1,75,0.02564102564102564,NOUN,0.0728744939271255,3
NOUN,1,75,0.02564102564102564,NOUN,0.02564102564102564,1
ADJ,1,75,0.02564102564102564,ADJ,0.02564102564102564,1
NOUN,1,75,0.02564102564102564,NOUN,0.02564102564102564,1
NOUN,1,75,0.02564102564102564,NOUN,0.02564102564102564,1
NOUN,2,75,0.05128205128205128,NOUN,0.07564946018893387,5
ADJ,1,75,0.02564102564102564,ADJ,0.02564102564102564,1
ADJ,1,75,0.02564102564102564,ADJ,0.02564102564102564,1
NOUN,1,75,0.02564102564102564,NOUN,0.02564102564102564,1
NOUN,1,75,0.02564102564102564,NOUN,0.02564102564102564,1
NOUN,2,75,0.05128205128205128,NOUN,0.18681245337423827,23
NOUN,1,75,0.02564102564102564,NOUN,0.07724358974358975,4
NOUN,1,75,0.02564102564102564,NOUN,0.06837606837606837,2
NOUN,1,75,0.02564102564102564,NOUN,0.024565315183164155,3
NOUN,1,75,0.02564102564102564,NOUN,0.02564102564102564,1
NOUN,1,75,0.02564102564102564,NOUN,0.12783056542455037,8
NOUN,5,75,0.1282051282051282,NOUN,0.13343334297281664,19
ADJ,1,75,0.02564102564102564,ADJ,0.02564102564102564,1
NOUN,1,75,0.02564102564102564,NOUN,0.02564102564102564,1
