vector,word,wordCount,dt,doc_id,doc,percent_of_total
3,crash,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,credit,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,crisis,7,26/05/2020,M0ea6f,3,0.0098452883263009
3,critical,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,crowded,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,cultural,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,culture,3,26/05/2020,M0ea6f,3,0.0042194092827004
3,cut,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,darker,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,daughter,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,day,4,26/05/2020,M0ea6f,3,0.0056258790436005
3,death,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,decade,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,decay,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,decision,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,decontamination,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,deep,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,delivery,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,density,5,26/05/2020,M0ea6f,3,0.0070323488045007
3,dependence,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,depth,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,design,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,devastating,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,developer,3,26/05/2020,M0ea6f,3,0.0042194092827004
3,development,3,26/05/2020,M0ea6f,3,0.0042194092827004
3,different,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,difficult,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,direct,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,disaster,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,disparity,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,divisive,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,dollar,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,done,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,doomsayer,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,door,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,doubt,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,downtown,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,downturn,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,driver,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,drove,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,easy,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,economic,3,26/05/2020,M0ea6f,3,0.0042194092827004
3,economy,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,elder,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,elevator,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,emergency,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,employer,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,empty,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,end,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,era,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,essential,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,estate,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,everpresent,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,example,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,executive,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,exodus,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,expense,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,expensive,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,experience,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,eye,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,failure,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,faith,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,fare,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,fatality,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,fear,3,26/05/2020,M0ea6f,3,0.0042194092827004
3,federal,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,few,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,field,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,figure,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,finance,1,26/05/2020,M0ea6f,3,0.0014064697609001
